#,title,artist,href,file,title (max32)
44,Mauvais garçons,White-B,https://genius.com/White-b-mauvais-garcons-lyrics,White-b-mauvais-garcons,White-b-mauvais-garcons
45,Johnny,Dead Obies,https://genius.com/Dead-obies-johnny-lyrics,Dead-obies-johnny,Dead-obies-johnny
46,A l'aise,Enima,https://genius.com/Enima-a-laise-lyrics,Enima-a-laise,Enima-a-laise
47,Mode de vie,White-B & MB,https://genius.com/White-b-and-mb-mode-de-vie-lyrics,White-b-and-mb-mode-de-vie,White-b-and-mb-mode-de-vie
48,Godbless The Topless,Black Taboo,https://genius.com/Black-taboo-godbless-the-topless-lyrics,Black-taboo-godbless-the-topless,Black-taboo-godbless-the-topless
49,Libérez-nous des libéraux,Loco Locass,https://genius.com/Loco-locass-liberez-nous-des-liberaux-lyrics,Loco-locass-liberez-nous-des-liberaux,Loco-locass-liberez-nous-des-lib
50,24 heures à vivre,White-B (Ft. Random (QC) ),https://genius.com/White-b-24-heures-a-vivre-lyrics,White-b-24-heures-a-vivre,White-b-24-heures-a-vivre
51,Nana,Lorenzo (Ft. Les Anticipateurs ),https://genius.com/Lorenzo-nana-lyrics,Lorenzo-nana,Lorenzo-nana
52,Médailles,Loud,https://genius.com/Loud-medailles-lyrics,Loud-medailles,Loud-medailles
53,Where They @,Dead Obies,https://genius.com/Dead-obies-where-they-lyrics,Dead-obies-where-they,Dead-obies-where-they
54,Éléphant,Koriass,https://genius.com/Koriass-elephant-lyrics,Koriass-elephant,Koriass-elephant
55,Intro (MMS1),Enima,https://genius.com/Enima-intro-mms1-lyrics,Enima-intro-mms1,Enima-intro-mms1
56,Chacun sa manière,Souldia (Ft. Enima & Fou Furieux ),https://genius.com/Souldia-chacun-sa-maniere-lyrics,Souldia-chacun-sa-maniere,Souldia-chacun-sa-maniere
57,Iceberg,Lost,https://genius.com/Lost-iceberg-lyrics,Lost-iceberg,Lost-iceberg
58,Vérité,Lost (Ft. White-B ),https://genius.com/Lost-verite-lyrics,Lost-verite,Lost-verite
59,Jugg,Izzy-S (Ft. Enima ),https://genius.com/Izzy-s-jugg-lyrics,Izzy-s-jugg,Izzy-s-jugg
60,Chill?,Tizzo & Shreez,https://genius.com/Tizzo-and-shreez-chill-lyrics,Tizzo-and-shreez-chill,Tizzo-and-shreez-chill
61,Territoire hostile,Sans Pression,https://genius.com/Sans-pression-territoire-hostile-lyrics,Sans-pression-territoire-hostile,Sans-pression-territoire-hostile
62,Trilogie,Osirus Jack (Ft. Kaki Santana & Roi Heenok ),https://genius.com/Osirus-jack-trilogie-lyrics,Osirus-jack-trilogie,Osirus-jack-trilogie
63,Grande plume,Manu Militari,https://genius.com/Manu-militari-grande-plume-lyrics,Manu-militari-grande-plume,Manu-militari-grande-plume
64,Moi,Enima,https://genius.com/Enima-moi-lyrics,Enima-moi,Enima-moi
65,Ciel,FouKi (Ft. Alicia Moffet ),https://genius.com/Fouki-ciel-lyrics,Fouki-ciel,Fouki-ciel
66,Petit prince,Rymz,https://genius.com/Rymz-petit-prince-lyrics,Rymz-petit-prince,Rymz-petit-prince
67,Wrist Money,Enima,https://genius.com/Enima-wrist-money-lyrics,Enima-wrist-money,Enima-wrist-money
68,Inoubliable,Souldia,https://genius.com/Souldia-inoubliable-lyrics,Souldia-inoubliable,Souldia-inoubliable
69,Cinq à sept,Koriass,https://genius.com/Koriass-cinq-a-sept-lyrics,Koriass-cinq-a-sept,Koriass-cinq-a-sept
70,Vamos,MB (Ft. Lost ),https://genius.com/Mb-vamos-lyrics,Mb-vamos,Mb-vamos
71,Matusalem,Koriass (Ft. Jay Scøtt ),https://genius.com/Koriass-matusalem-lyrics,Koriass-matusalem,Koriass-matusalem
72,Monnaie,Dead Obies,https://genius.com/Dead-obies-monnaie-lyrics,Dead-obies-monnaie,Dead-obies-monnaie
73,P5,Lost,https://genius.com/Lost-p5-lyrics,Lost-p5,Lost-p5
74,Sur ma vie,Vai,https://genius.com/Vai-sur-ma-vie-lyrics,Vai-sur-ma-vie,Vai-sur-ma-vie
75,Toute la nuit,Enima (Ft. VT ),https://genius.com/Enima-toute-la-nuit-lyrics,Enima-toute-la-nuit,Enima-toute-la-nuit
76,ALL ZAY,FouKi (Ft. Koriass ),https://genius.com/Fouki-all-zay-lyrics,Fouki-all-zay,Fouki-all-zay
77,Saint Laurent,Mister V (Ft. Rowjay ),https://genius.com/Mister-v-saint-laurent-lyrics,Mister-v-saint-laurent,Mister-v-saint-laurent
78,Cendres,Loud Lary Ajust (Ft. Fanny Bloom ),https://genius.com/Loud-lary-ajust-cendres-lyrics,Loud-lary-ajust-cendres,Loud-lary-ajust-cendres
79,L'Attente,Manu Militari,https://genius.com/Manu-militari-lattente-lyrics,Manu-militari-lattente,Manu-militari-lattente
80,Supernova,Koriass,https://genius.com/Koriass-supernova-lyrics,Koriass-supernova,Koriass-supernova
81,Fallait y aller,Loud,https://genius.com/Loud-fallait-y-aller-lyrics,Loud-fallait-y-aller,Loud-fallait-y-aller
82,Le pont de la rivière Kwaï,Loud,https://genius.com/Loud-le-pont-de-la-riviere-kwai-lyrics,Loud-le-pont-de-la-riviere-kwai,Loud-le-pont-de-la-riviere-kwai
83,Bando,"MB , Lost & White-B",https://genius.com/Mb-lost-and-white-b-bando-lyrics,Mb-lost-and-white-b-bando,Mb-lost-and-white-b-bando
84,Ménage à trois,Manu Militari,https://genius.com/Manu-militari-menage-a-trois-lyrics,Manu-militari-menage-a-trois,Manu-militari-menage-a-trois
85,So Far So Good,Loud,https://genius.com/Loud-so-far-so-good-lyrics,Loud-so-far-so-good,Loud-so-far-so-good
86,Automne,Loud Lary Ajust (Ft. Karim Ouellet ),https://genius.com/Loud-lary-ajust-automne-lyrics,Loud-lary-ajust-automne,Loud-lary-ajust-automne
87,Don't Play It Safe,Cassie,https://genius.com/Cassie-dont-play-it-safe-lyrics,Cassie-dont-play-it-safe,Cassie-dont-play-it-safe
88,Wow,Tizzo & Shreez (Ft. Soft & VNCE CARTER ),https://genius.com/Tizzo-and-shreez-wow-lyrics,Tizzo-and-shreez-wow,Tizzo-and-shreez-wow
89,Le bonheur des autres,"Souldia (Ft. Lost , MB & White-B )",https://genius.com/Souldia-le-bonheur-des-autres-lyrics,Souldia-le-bonheur-des-autres,Souldia-le-bonheur-des-autres
90,Waiting,Dead Obies,https://genius.com/Dead-obies-waiting-lyrics,Dead-obies-waiting,Dead-obies-waiting
91,Badman,Lost,https://genius.com/Lost-badman-lyrics,Lost-badman,Lost-badman
92,STEAK,Les Anticipateurs,https://genius.com/Les-anticipateurs-steak-lyrics,Les-anticipateurs-steak,Les-anticipateurs-steak
93,Voix de fait,Manu Militari,https://genius.com/Manu-militari-voix-de-fait-lyrics,Manu-militari-voix-de-fait,Manu-militari-voix-de-fait
94,Jack Sparrow,MB,https://genius.com/Mb-jack-sparrow-lyrics,Mb-jack-sparrow,Mb-jack-sparrow
95,Bruce Wayne,Lost (Ft. Izzy-S ),https://genius.com/Lost-bruce-wayne-lyrics,Lost-bruce-wayne,Lost-bruce-wayne
96,Vider le klip,VT,https://genius.com/Vt-vider-le-klip-lyrics,Vt-vider-le-klip,Vt-vider-le-klip
97,Henny,Enima,https://genius.com/Enima-henny-lyrics,Enima-henny,Enima-henny
98,Sur la route,Lost,https://genius.com/Lost-sur-la-route-lyrics,Lost-sur-la-route,Lost-sur-la-route
99,Jamais de la vie,Loud,https://genius.com/Loud-jamais-de-la-vie-lyrics,Loud-jamais-de-la-vie,Loud-jamais-de-la-vie
100,Time,Enima,https://genius.com/Enima-time-lyrics,Enima-time,Enima-time
101,Une plotte c’t’une plotte,Black Taboo,https://genius.com/Black-taboo-une-plotte-ctune-plotte-lyrics,Black-taboo-une-plotte-ctune-plotte,Black-taboo-une-plotte-ctune-plo
102,Misère,Enima,https://genius.com/Enima-misere-lyrics,Enima-misere,Enima-misere
103,Pavel Bure,Les Anticipateurs (Ft. Shreez & Tizzo ),https://genius.com/Les-anticipateurs-pavel-bure-lyrics,Les-anticipateurs-pavel-bure,Les-anticipateurs-pavel-bure
