53	Bâtard	Stromae	https://genius.com/Stromae-batard-lyrics	053-Stromae-batard
54	Sapés comme jamais (Pilule Bleue)	GIMS (Ft. Niska)	https://genius.com/Gims-sapes-comme-jamais-pilule-bleue-lyrics	054-Gims-sapes-comme-jamais-pilule-bleue
55	Réalité augmentée	Nekfeu	https://genius.com/Nekfeu-realite-augmentee-lyrics	055-Nekfeu-realite-augmentee
56	Dans la légende	PNL	https://genius.com/Pnl-dans-la-legende-lyrics	056-Pnl-dans-la-legende
57	Squa	Nekfeu	https://genius.com/Nekfeu-squa-lyrics	057-Nekfeu-squa
58	Quand je partirai	La Fouine	https://genius.com/La-fouine-quand-je-partirai-lyrics	058-La-fouine-quand-je-partirai
59	Zoulou Tchaing	PNL	https://genius.com/Pnl-zoulou-tchaing-lyrics	059-Pnl-zoulou-tchaing
60	Réseaux	Niska	https://genius.com/Niska-reseaux-lyrics	060-Niska-reseaux
61	Galatée	Nekfeu	https://genius.com/Nekfeu-galatee-lyrics	061-Nekfeu-galatee
62	Les prélis	Columbine	https://genius.com/Columbine-les-prelis-lyrics	062-Columbine-les-prelis
63	Tu la love	JuL	https://genius.com/Jul-tu-la-love-lyrics	063-Jul-tu-la-love
64	Avant tu riais	Nekfeu (Ft. Clara Luciani)	https://genius.com/Nekfeu-avant-tu-riais-lyrics	064-Nekfeu-avant-tu-riais
65	Saturne	Nekfeu (Ft. Sneazzy & S.Pri Noir)	https://genius.com/Nekfeu-saturne-lyrics	065-Nekfeu-saturne
66	Freestyle du sale	Lorenzo	https://genius.com/Lorenzo-freestyle-du-sale-lyrics	066-Lorenzo-freestyle-du-sale
67	Petite fille	Booba	https://genius.com/Booba-petite-fille-lyrics	067-Booba-petite-fille
68	Gustavo Gaviria	Lacrim	https://genius.com/Lacrim-gustavo-gaviria-lyrics	068-Lacrim-gustavo-gaviria
69	Oiseaux	Django	https://genius.com/Django-oiseaux-lyrics	069-Django-oiseaux
70	Ε. Signaler	Damso	https://genius.com/Damso-signaler-lyrics	070-Damso-signaler
71	J'fais mes affaires	Djadja & Dinaz	https://genius.com/Djadja-and-dinaz-jfais-mes-affaires-lyrics	071-Djadja-and-dinaz-jfais-mes-affaires
72	Ta fête	Stromae	https://genius.com/Stromae-ta-fete-lyrics	072-Stromae-ta-fete
73	Chang	PNL	https://genius.com/Pnl-chang-lyrics	073-Pnl-chang
74	Ma meilleure	La Fouine (Ft. Zaho)	https://genius.com/La-fouine-ma-meilleure-lyrics	074-La-fouine-ma-meilleure
75	La misère est si belle	PNL	https://genius.com/Pnl-la-misere-est-si-belle-lyrics	075-Pnl-la-misere-est-si-belle
76	Autotune	Damso	https://genius.com/Damso-autotune-lyrics	076-Damso-autotune
77	Yeux disent	Lomepal	https://genius.com/Lomepal-yeux-disent-lyrics	077-Lomepal-yeux-disent
78	Paname Boss	La Fouine (Ft. Canardo, Fababy, Niro, Sniper, Sultan & Youssoupha)	https://genius.com/La-fouine-paname-boss-lyrics	078-La-fouine-paname-boss
79	Avant qu'elle parte	Sexion d'Assaut	https://genius.com/Sexion-dassaut-avant-quelle-parte-lyrics	079-Sexion-dassaut-avant-quelle-parte
80	Ζ. Kietu	Damso	https://genius.com/Damso-kietu-lyrics	080-Damso-kietu
81	Caramel	Booba	https://genius.com/Booba-caramel-lyrics	081-Booba-caramel
82	Arrêt du cœur	Kalash Criminel (Ft. Kaaris)	https://genius.com/Kalash-criminel-arret-du-cur-lyrics	082-Kalash-criminel-arret-du-cur
83	Tricheur	Nekfeu (Ft. Damso)	https://genius.com/Nekfeu-tricheur-lyrics	083-Nekfeu-tricheur
84	Tchiki Tchiki	PNL	https://genius.com/Pnl-tchiki-tchiki-lyrics	084-Pnl-tchiki-tchiki
85	Tempête	PNL	https://genius.com/Pnl-tempete-lyrics	085-Pnl-tempete
86	Martin Eden	Nekfeu	https://genius.com/Nekfeu-martin-eden-lyrics	086-Nekfeu-martin-eden
87	Pinocchio	Booba (Ft. Damso & Gato)	https://genius.com/Booba-pinocchio-lyrics	087-Booba-pinocchio
88	Dis-moi que tu m’aimes	Ninho	https://genius.com/Ninho-dis-moi-que-tu-maimes-lyrics	088-Ninho-dis-moi-que-tu-maimes
89	Dans ma paranoïa	JuL	https://genius.com/Jul-dans-ma-paranoia-lyrics	089-Jul-dans-ma-paranoia
90	Elle pleut	Nekfeu (Ft. Nemir)	https://genius.com/Nekfeu-elle-pleut-lyrics	090-Nekfeu-elle-pleut
91	Tombé pour elle	Booba	https://genius.com/Booba-tombe-pour-elle-lyrics	091-Booba-tombe-pour-elle
92	Mowgli	Ademo	https://genius.com/Ademo-mowgli-lyrics	092-Ademo-mowgli
93	Ma direction	Sexion d'Assaut	https://genius.com/Sexion-dassaut-ma-direction-lyrics	093-Sexion-dassaut-ma-direction
94	Je vis, je visser	PNL	https://genius.com/Pnl-je-vis-je-visser-lyrics	094-Pnl-je-vis-je-visser
95	Rap catéchisme	Freeze Corleone (Ft. Alpha Wann)	https://genius.com/Freeze-corleone-rap-catechisme-lyrics	095-Freeze-corleone-rap-catechisme
96	Turfu	Booba	https://genius.com/Booba-turfu-lyrics	096-Booba-turfu
97	Zombie	GIMS	https://genius.com/Gims-zombie-lyrics	097-Gims-zombie
98	Moules frites	Stromae	https://genius.com/Stromae-moules-frites-lyrics	098-Stromae-moules-frites
99	Champs-Élysées	SCH	https://genius.com/Sch-champs-elysees-lyrics	099-Sch-champs-elysees
100	Uranus	PNL	https://genius.com/Pnl-uranus-lyrics	100-Pnl-uranus
101	À Bon Entendeur	Lartiste	https://genius.com/Lartiste-a-bon-entendeur-lyrics	101-Lartiste-a-bon-entendeur
102	Quand c'est ?	Stromae	https://genius.com/Stromae-quand-cest-lyrics	102-Stromae-quand-cest
103	Intro	Freeze Corleone	https://genius.com/Freeze-corleone-intro-lyrics	103-Freeze-corleone-intro
104	Wesh Morray	Booba	https://genius.com/Booba-wesh-morray-lyrics	104-Booba-wesh-morray
105	OKLM	Booba	https://genius.com/Booba-oklm-lyrics	105-Booba-oklm
106	Afro Trap Part. 7 (La Puissance)	MHD	https://genius.com/Mhd-afro-trap-part-7-la-puissance-lyrics	106-Mhd-afro-trap-part-7-la-puissance
107	Δ. Dieu ne ment jamais	Damso	https://genius.com/Damso-dieu-ne-ment-jamais-lyrics	107-Damso-dieu-ne-ment-jamais
108	Tchoin	Kaaris	https://genius.com/Kaaris-tchoin-lyrics	108-Kaaris-tchoin
109	Autre monde	PNL	https://genius.com/Pnl-autre-monde-lyrics	109-Pnl-autre-monde
110	Α. Nwaar Is The New Black	Damso	https://genius.com/Damso-nwaar-is-the-new-black-lyrics	110-Damso-nwaar-is-the-new-black
111	BruxellesVie	Damso	https://genius.com/Damso-bruxellesvie-lyrics	111-Damso-bruxellesvie
112	Esquimaux	Nekfeu (Ft. Népal)	https://genius.com/Nekfeu-esquimaux-lyrics	112-Nekfeu-esquimaux
113	Stupeflip vite !!!	Stupeflip	https://genius.com/Stupeflip-stupeflip-vite-lyrics	113-Stupeflip-stupeflip-vite
114	Friday	Booba	https://genius.com/Booba-friday-lyrics	114-Booba-friday
115	Bouchon de liège	Kaaris	https://genius.com/Kaaris-bouchon-de-liege-lyrics	115-Kaaris-bouchon-de-liege
116	Humain	PNL	https://genius.com/Pnl-humain-lyrics	116-Pnl-humain
117	One-One	Hayce Lemsi	https://genius.com/Hayce-lemsi-one-one-lyrics	117-Hayce-lemsi-one-one
118	Wesh alors	JuL	https://genius.com/Jul-wesh-alors-lyrics	118-Jul-wesh-alors
119	Or Noir	Kaaris	https://genius.com/Kaaris-or-noir-lyrics	119-Kaaris-or-noir
120	My World	JuL	https://genius.com/Jul-my-world-lyrics	120-Jul-my-world
121	Rosa	Gradur	https://genius.com/Gradur-rosa-lyrics	121-Gradur-rosa
122	Parlons peu	Booba	https://genius.com/Booba-parlons-peu-lyrics	122-Booba-parlons-peu
123	Autopsie 5	La Fouine	https://genius.com/La-fouine-autopsie-5-lyrics	123-La-fouine-autopsie-5
124	113	Booba (Ft. Damso)	https://genius.com/Booba-113-lyrics	124-Booba-113
125	Shenmue	PNL	https://genius.com/Pnl-shenmue-lyrics	125-Pnl-shenmue
126	Otto	SCH	https://genius.com/Sch-otto-lyrics	126-Sch-otto
127	Afro Trap, Pt. 3 (Champions League)	MHD	https://genius.com/Mhd-afro-trap-pt-3-champions-league-lyrics	127-Mhd-afro-trap-pt-3-champions-league
128	Skurt Cobain	Sneazzy (Ft. Nekfeu)	https://genius.com/Sneazzy-skurt-cobain-lyrics	128-Sneazzy-skurt-cobain
129	Tu sais pas	PNL	https://genius.com/Pnl-tu-sais-pas-lyrics	129-Pnl-tu-sais-pas
130	Dans ta rue	PNL	https://genius.com/Pnl-dans-ta-rue-lyrics	130-Pnl-dans-ta-rue
131	Dalida	Soolking	https://genius.com/Soolking-dalida-lyrics	131-Soolking-dalida
132	Je t'haine	PNL	https://genius.com/Pnl-je-thaine-lyrics	132-Pnl-je-thaine
133	Allo maman	SCH	https://genius.com/Sch-allo-maman-lyrics	133-Sch-allo-maman
134	Ipséité	Damso	https://genius.com/Damso-ipseite-lyrics	134-Damso-ipseite
135	06h16 - Des histoires à raconter	Casseurs Flowters	https://genius.com/Casseurs-flowters-06h16-des-histoires-a-raconter-lyrics	135-Casseurs-flowters-06h16-des-histoires-a-raconter
136	Se-vrak	Kaaris	https://genius.com/Kaaris-se-vrak-lyrics	136-Kaaris-se-vrak
137	Loup garou	GIMS (Ft. Sofiane)	https://genius.com/Gims-loup-garou-lyrics	137-Gims-loup-garou
138	Hors ligne	Freeze Corleone	https://genius.com/Freeze-corleone-hors-ligne-lyrics	138-Freeze-corleone-hors-ligne
139	La vie qu'on mène	Ninho	https://genius.com/Ninho-la-vie-quon-mene-lyrics	139-Ninho-la-vie-quon-mene
140	Rebenga	PNL (Ft. RKM)	https://genius.com/Pnl-rebenga-lyrics	140-Pnl-rebenga
141	De l'autre côté	Ninho (Ft. Nekfeu)	https://genius.com/Ninho-de-lautre-cote-lyrics	141-Ninho-de-lautre-cote
142	Mira	PNL	https://genius.com/Pnl-mira-lyrics	142-Pnl-mira
143	Les princes	MZ (Ft. Nekfeu)	https://genius.com/Mz-les-princes-lyrics	143-Mz-les-princes
144	Pitbull	Booba	https://genius.com/Booba-pitbull-lyrics	144-Booba-pitbull
145	Paris c'est loin	Damso (Ft. Booba)	https://genius.com/Damso-paris-cest-loin-lyrics	145-Damso-paris-cest-loin
146	91's	PNL	https://genius.com/Pnl-91s-lyrics	146-Pnl-91s
147	avf	Stromae (Ft. GIMS & OrelSan)	https://genius.com/Stromae-avf-lyrics	147-Stromae-avf
148	Cramés	PNL	https://genius.com/Pnl-crames-lyrics	148-Pnl-crames
