#,title,artist,href
72,Monnaie,Dead Obies,https://genius.com/Dead-obies-monnaie-lyrics
73,P5,Lost,https://genius.com/Lost-p5-lyrics
74,Sur ma vie,Vai,https://genius.com/Vai-sur-ma-vie-lyrics
75,Toute la nuit,Enima (Ft. VT ),https://genius.com/Enima-toute-la-nuit-lyrics
76,ALL ZAY,FouKi (Ft. Koriass ),https://genius.com/Fouki-all-zay-lyrics
77,Saint Laurent,Mister V (Ft. Rowjay ),https://genius.com/Mister-v-saint-laurent-lyrics
78,Cendres,Loud Lary Ajust (Ft. Fanny Bloom ),https://genius.com/Loud-lary-ajust-cendres-lyrics
79,L'Attente,Manu Militari,https://genius.com/Manu-militari-lattente-lyrics
80,Supernova,Koriass,https://genius.com/Koriass-supernova-lyrics
81,Fallait y aller,Loud,https://genius.com/Loud-fallait-y-aller-lyrics
82,Le pont de la rivière Kwaï,Loud,https://genius.com/Loud-le-pont-de-la-riviere-kwai-lyrics
83,Bando,"MB , Lost & White-B",https://genius.com/Mb-lost-and-white-b-bando-lyrics
84,Ménage à trois,Manu Militari,https://genius.com/Manu-militari-menage-a-trois-lyrics
85,So Far So Good,Loud,https://genius.com/Loud-so-far-so-good-lyrics
86,Automne,Loud Lary Ajust (Ft. Karim Ouellet ),https://genius.com/Loud-lary-ajust-automne-lyrics
87,Don't Play It Safe,Cassie,https://genius.com/Cassie-dont-play-it-safe-lyrics
88,Wow,Tizzo & Shreez (Ft. Soft & VNCE CARTER ),https://genius.com/Tizzo-and-shreez-wow-lyrics
89,Le bonheur des autres,"Souldia (Ft. Lost , MB & White-B )",https://genius.com/Souldia-le-bonheur-des-autres-lyrics
90,Waiting,Dead Obies,https://genius.com/Dead-obies-waiting-lyrics
91,Badman,Lost,https://genius.com/Lost-badman-lyrics
92,STEAK,Les Anticipateurs,https://genius.com/Les-anticipateurs-steak-lyrics
93,Voix de fait,Manu Militari,https://genius.com/Manu-militari-voix-de-fait-lyrics
94,Jack Sparrow,MB,https://genius.com/Mb-jack-sparrow-lyrics
95,Bruce Wayne,Lost (Ft. Izzy-S ),https://genius.com/Lost-bruce-wayne-lyrics
96,Vider le klip,VT,https://genius.com/Vt-vider-le-klip-lyrics
97,Henny,Enima,https://genius.com/Enima-henny-lyrics
98,Sur la route,Lost,https://genius.com/Lost-sur-la-route-lyrics
99,Jamais de la vie,Loud,https://genius.com/Loud-jamais-de-la-vie-lyrics
100,Time,Enima,https://genius.com/Enima-time-lyrics
101,Une plotte c’t’une plotte,Black Taboo,https://genius.com/Black-taboo-une-plotte-ctune-plotte-lyrics
102,Misère,Enima,https://genius.com/Enima-misere-lyrics
